Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
SADAKO JAPANESE RESTAURANT,1321 S. UNIVERSITY,ANN ARBOR,09/18/2014,0,0,2
SAICA,1733 PLYMOUTH ROAD,ANN ARBOR,09/30/2014,2,3,9
SALINE HIGH OUTDOOR CONCESSIONS,1300 CAMPUS PARKWAY,SALINE,09/26/2014,0,0,1
SALINE HIGH SCHOOL,1300 CAMPUS PARKWAY,SALINE,09/11/2014,1,0,1
"SALINE HIGH SCHOOL ""THE HIVE""",1300 CAMPUS PARKWAY,SALINE,09/23/2014,0,1,7
SALINE MIDDLE SCHOOL,7190 N MAPLE,SALINE,09/25/2014,0,0,0
SALINE MIDDLE SCHOOL OUTDOOR CONCESSION,7190 MAPLE RD,SALINE,09/16/2014,0,1,0
SALVATION ARMY,9 S. PARK,YPSILANTI,09/18/2014,1,3,1
SATCHEL'S BBQ LLLC,3035 WASHTENAW AVE,ANN ARBOR,09/05/2014,0,2,3
SCOREKEEPERS,310 MAYNARD/P.O.BOX 8260,ANN ARBOR,09/11/2014,1,1,1
SIAM SQUARE,3750 WASHTENAW,ANN ARBOR,09/10/2014,2,0,4
SIGMA CHI FRATERNITY,548 S STATE ST,ANN ARBOR,09/16/2014,0,0,0
SKYLINE HIGH SCHOOL CAFETERIA,2552 N. MAPLE RD,ANN ARBOR,09/16/2014,1,1,2
SKYLINE HIGH SCHOOL CONCESSIONS,2552 N. MAPLE ,ANN ARBOR,09/11/2014,0,0,1
SLAUSON JR.HIGH SCHOOL,1019 N. WASHINGTON,ANN ARBOR,09/10/2014,0,1,0
SMARTY CATZ,16 N. HURON STREET,YPSILANTI,09/18/2014,1,0,2
SOTTINIS DOGS MOBILE,205 S. FOURTH AVE,ANN ARBOR,09/09/2014,1,2,2
SOUTHPOINTE SCHOLARS CHARTER ACADEMY,10550 GEDDES RD,YPSILANTI,09/15/2014,0,0,1
ST. ANDREW CATHOLIC CHURCH,910 AUSTIN DRIVE,SALINE,09/02/2014,1,0,3
ST. JOSEPH CHURCH,9425 WHITTAKER ROAD,YPSILANTI,09/21/2014,0,0,0
ST. MARY CATHOLIC CHURCH,14200 E OLD U.S. 12,CHELSEA,09/22/2014,0,0,4
ST. PAUL UNITED CH OF CHRIST,122 W. MICHIGAN AVENUE,SALINE,09/02/2014,1,0,4
ST. PAULS LUTHERAN SCHOOL,495 EARHART ROAD,ANN ARBOR,09/17/2014,1,2,2
ST. THOMAS PARISH HALL,530 ELIZABETH STREET,ANN ARBOR,09/10/2014,0,0,2
ST. THOMAS SCHOOL CAFETERIA,540 ELIZABETH STREET,ANN ARBOR,09/10/2014,0,0,2
STARBUCKS COFFEE  #2359,222 S. STATE STREET,ANN ARBOR,09/17/2014,0,0,0
STOCKWELL'S BREAKFAST & LUNCH,108 ADRAIN ST. ,MANCHESTER,09/24/2014,1,0,1
STONE SCHOOL CAFETERIA,2800 STONE SCHOOL ROAD,ANN ARBOR,09/22/2014,1,3,2
STUCCHI'S,302 S. STATE STREET,ANN ARBOR,09/02/2014,0,0,0
SUBWAY,1107 S. MAIN STREET,CHELSEA,09/30/2014,0,0,3
SUBWAY,1156 DEXTER STREET,MILAN,09/17/2014,0,0,0
SUBWAY #50227,411 E. WASHINGTON STE A2,ANN ARBOR,09/04/2014,0,0,5
SUBWAY @ EMU,900 OAKWOOD,YPSILANTI,09/03/2014,0,0,2
"SUBWAY @ WAL-MART/MARUTI FAST FOODS, LLC",7000 EAST MICHIGAN AVE,SALINE,09/23/2014,0,0,2
SUBWAY OF DEXTER,7050 DEXTER-ANN ARBOR RD #600,DEXTER,09/03/2014,1,2,4
SWEETWATERS COFFEE & TEA,604 E LIBERTY ST,ANN ARBOR,09/16/2014,1,0,1
SWEETWATERS YPSILANTI,735 W CROSS ST,YPSILANTI,09/29/2014,1,1,0
TACO BELL # 9591,2351 ELLSWORTH ROAD,YPSILANTI,09/26/2014,0,0,3
TACO BELL #27886,1085 E MICHIGAN AVE.,YPSILANTI,09/26/2014,0,1,1
TAPPAN JR. HIGH SCHOOL,2251 E. STADIUM BLVD,ANN ARBOR,09/11/2014,0,2,1
TIAN CHU,613 E. WILLIAMS,ANN ARBOR,09/11/2014,2,3,4
TMAZ TAQUERIA,3182 PACKARD RD,ANN ARBOR,09/29/2014,1,1,8
TOARMINA'S PIZZA &  BURRITO JOINT,1200 PACKARD,ANN ARBOR,09/09/2014,0,0,3
TOYOTA TECH CENTER(YORK) - ARAMARK,8777 PLATT RD,SALINE,09/22/2014,0,0,2
U OF M HILLEL FOUNDATION,1429 HILL STREET,ANN ARBOR,09/15/2014,0,0,1
UNIVERSITY ASSISTED LIVING,2865 S. MAIN STREET,ANN ARBOR,09/05/2014,2,0,8
UPPER CRUST FOOD SERVICE @ CHI PSI FRAT,620 S. STATE ST.,ANN ARBOR,09/16/2014,1,1,2
VETERANS ICE RINK & SWIM POOL,2150 JACKSON ROAD,ANN ARBOR,09/11/2014,0,0,1
WASHTENAW CHRISTIAN ACADEMY,7200 MOON RD,SALINE,09/12/2014,0,0,1
WENDY'S,1655 PLYMOUTH ROAD,ANN ARBOR,09/03/2014,1,1,4
WENDY'S @ EMU,900 OAKWOOD,YPSILANTI,09/29/2014,0,0,3
WHAT CREPE ANN ARBOR LLC,241 E. LIBERTY,ANN ARBOR,09/18/2014,0,0,4
WHAT IS IT THIS WEEK #1,978 E. MICHIGAN AVE,SALINE,09/22/2014,0,0,0
WHITMORE LAKE ELEMENTARY SCHOOL,1077 BARKER ROAD,WHITMORE LAKE,09/10/2014,0,1,0
WHITMORE LAKE H.S. OUTDOOR CONCESSION,7430 WHITMORE LAKE RD,WHITMORE LAKE,09/25/2014,1,0,2
WHITMORE LAKE JR. FOOTBALL,160 JENNINGS ROAD,WHITMORE LAKE,09/26/2014,0,0,1
WHITMORE LAKE MIDDLE SCHOOL,8877 MAIN STREET,WHITMORE LAKE,09/10/2014,0,0,0
WHITMORE LAKE TAVERN,9839 MAIN STREET,WHITMORE LAKE,09/19/2014,2,0,5
WHITMORE LANES INC & CONEY,9455 MAIN STREET,WHITMORE LAKE,09/09/2014,5,0,1
WINES ELEMENTARY,1701 NEWPORT ROAD,ANN ARBOR,09/08/2014,0,0,1
WOODLAND MEADOWS ELEMENTARY,350 WOODLAND DRIVE,SALINE,09/19/2014,0,0,0
WYLIE ELEMENTARY SCHOOL,3060 KENSINGTON,DEXTER,09/08/2014,0,0,1
YPSILANTI HIGH SCHOOL SHADFORD FIELD,2095 PACKARD,YPSILANTI,09/18/2014,1,0,5
