Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
EMU DINING COMMONS #1,850 W. CROSS STREET,YPSILANTI,03/31/2015,0,0,4
EMU EINSTEIN BAGELS,HOYT CONFERENCE CENTER,YPSILANTI,03/11/2015,0,0,2
EMU ISLAND FOOD COURT,900 OAKWOOD BLVD.,YPSILANTI,03/04/2015,0,0,2
EMU SATELLITE OPERATIONS,ST. JOHN STDC1,YPSILANTI,03/12/2015,0,1,2
EMU STARBUCKS,900 OAKWOOD BLVD.,YPSILANTI,03/04/2015,0,0,3
EMU TACO BELL (SALSA GRILLE),900 OAKWOOD BLVD.,YPSILANTI,03/04/2015,0,0,1
ESPRESSO ROYALE,2264 S. MAIN STREET,ANN ARBOR,03/10/2015,1,2,3
ESTABROOK ELEMENTARY SCHOOL,1555 W. CROSS STREET,YPSILANTI,03/31/2015,0,1,0
EVERGREEN ORIENTAL INC.,2771 PLYMOUTH ROAD,ANN ARBOR,03/04/2015,2,5,11
EXPRESS FISH & CHICKEN,3015 E MICHIGAN AVE,YPSILANTI,03/11/2015,0,0,1
FENDERS BAR & GRILL,18-20 WABASH STREET,MILAN,03/24/2015,0,0,5
FIRST UNITED METHODIST CHURCH,209 WASHTENAW,YPSILANTI,03/10/2015,0,0,0
FOOD ZONE CHINESE RESTAURANT,7023 DEXTER-ANN ARBOR ROAD,DEXTER,03/24/2015,2,0,1
FORSYTHE JR. HIGH SCHOOL,1655 NEWPORT ROAD,ANN ARBOR,03/03/2015,0,0,0
FRANKS PLACE,104 E. MAIN STREET,MANCHESTER,03/11/2015,0,1,2
FRATERNAL ORDER OF EAGLES,2935 HOLMES ROAD,YPSILANTI,03/23/2015,4,2,10
FULL HOUSE  INC,57 ECORSE ROAD,YPSILANTI,03/16/2015,0,1,4
GIARDINOS,5060 JACKSON ROAD # A-1,ANN ARBOR,03/03/2015,0,1,4
GRACE FELLOWSHIP CHURCH,1345 S. HARRIS,YPSILANTI,03/13/2015,1,0,1
GRAHAMS,600 HILTON BLVD,ANN ARBOR,03/03/2015,3,2,9
GRATZI,326 S. MAIN STREET,ANN ARBOR,03/02/2015,3,1,2
GREAT WALL CHINESE RESTAURANT,2128 WHITTAKER ROAD,YPSILANTI,03/10/2015,0,3,6
HAMMACKS CATERING,850 S HEWITT,YPSILANTI,03/15/2015,0,0,4
HANA RESTAURANT,1346 E. MICHIGAN AVENUE,YPSILANTI,03/11/2015,0,0,1
HAPPY'S PIZZA #38,2997 WASHTENAW AVE,YPSILANTI,03/05/2015,2,1,4
HARVEST ELEMENTARY SCHOOL,1155 CAMPUS PARKWAY,SALINE,03/20/2015,0,1,1
HARVEST MOON,5484 W. MICHIGAN AVENUE,YPSILANTI,03/10/2015,0,2,1
HELLO FAZ PIZZA,2259 W. LIBERTY,ANN ARBOR,03/04/2015,0,0,2
HERITAGE ELEMENTARY SCHOOL,290 WOODLAND DRIVE,SALINE,03/10/2015,0,1,2
HIGH POINT CENTER,1735 S. WAGNER ROAD,ANN ARBOR,03/09/2015,0,1,2
HOLIDAY INN EXPRESS,600 HILTON BLVD.,ANN ARBOR,03/03/2015,0,0,0
HOLIDAY'S RESTAURANT,2080 W. STADIUM BLVD,ANN ARBOR,03/17/2015,1,1,2
HOP CAT ANN ARBOR LLC,311 MAYNARD,ANN ARBOR,03/11/2015,2,1,2
HOPE MEDICAL CLINIC,518 HARRIET ST.,YPSILANTI,03/05/2015,1,0,2
