Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
MOONWINKS CAFE,5151 PLYMOUTH RD SUITE A,ANN ARBOR,04/24/2015,0,0,1
MR. PIZZA,800 ECORSE ROAD,YPSILANTI,04/10/2015,2,1,8
MULTICULTURE ACADEMY,5550 PLATT RD,ANN ARBOR,04/15/2015,0,0,2
NEW TECH HIGH SCHOOL @ ARDIS,2100 ELLSWORTH ROAD,YPSILANTI,04/22/2015,1,0,2
NEW YORK PIZZA DEPOT,605 E. WILLIAM,ANN ARBOR,04/08/2015,0,1,4
NICK'S ORIGINAL HOUSE OF PANCAKES,3030 LOHR ROAD,ANN ARBOR,04/08/2015,1,0,3
NO. 9 HAMBURGERS STFU,2709 HAMPSHIRE RD,ANN ARBOR,04/25/2015,0,0,0
NO. 9 HAMBURGERS STFU,2709 HAMPSHIRE RD,ANN ARBOR,04/18/2015,0,0,0
NORTH CREEK ELEMENTARY SCHOOL,699 MCKINLEY STREET,CHELSEA,04/16/2015,0,0,1
NORTHSIDE ELEMENTARY SCHOOL,912 BARTON DRIVE,ANN ARBOR,04/28/2015,1,0,3
NORTHSIDE GRILL,1015 BROADWAY,ANN ARBOR,04/03/2015,1,0,4
NSK/CREATIVE DINING SERVICES,4200 GOSS RD,ANN ARBOR,04/08/2015,1,1,1
NT FOOD FOUNDRY,4747 WASHTENAW AVE,ANN ARBOR,04/01/2015,0,0,4
OCED AT ANN ARBOR CHURCH OF CHRIST,2500 S. MAIN ST.,ANN ARBOR,04/10/2015,0,0,1
OCED SENIOR NUTRITION PROGRAM,8970 WHITTAKER ROAD,YPSILANTI,04/14/2015,0,0,0
OLGA'S KITCHEN,454 BRIARWOOD CIRCLE,ANN ARBOR,04/13/2015,1,1,7
OLIVE GARDEN # 1110,445 E. EISENHOWER PKWY,ANN ARBOR,04/07/2015,1,0,5
PACIFIC RIM BY KANA,114 W. LIBERTY,ANN ARBOR,04/09/2015,1,0,7
PADDOCK ELEMENTARY,707 MARVIN STREET,MILAN,04/21/2015,1,0,0
PALM PALACE - PITTSFIELD,2370 CARPENTER RD,ANN ARBOR,04/07/2015,0,0,5
PANDA CHINESE & KOREAN RESTAURANT,3020 PACKARD,ANN ARBOR,04/02/2015,0,0,1
PAPI'O NIGHTCLUB,2275 ELLSWORTH ROAD,YPSILANTI,04/27/2015,0,2,3
PEACE NEIGHBORHOOD CENTER,1111 N. MAPLE ROAD,ANN ARBOR,04/20/2015,1,1,3
PILARS TAMALES,2261 W. LIBERTY,ANN ARBOR,04/15/2015,0,0,1
PIONEER HIGH SCHOOL CAFETERIA,601 W. STADIUM BLVD,ANN ARBOR,04/27/2015,1,0,4
PUTTERZ,2675 WASHTENAW,YPSILANTI,04/24/2015,1,0,1
QDOBA MEXICAN GRILL,3279 WASHTENAW AVE,ANN ARBOR,04/27/2015,0,0,2
QUICKIE BURGER BAR & GRILL,800 S. STATE STREET,ANN ARBOR,04/24/2015,0,0,0
RAWSONVILLE ELEMENTARY SCHOOL,3110 GROVE ROAD,YPSILANTI,04/28/2015,0,0,0
REAL BAKED GOODS,1232 PACKARD,ANN ARBOR,04/24/2015,1,0,1
RED BRICK KITCHEN & BAR,8093 MAIN ST.,DEXTER,04/07/2015,1,0,3
REDIES CENTER FOR REHAB & HEALTHY LIVING,440 W RUSSELL ST,SALINE,04/16/2015,0,1,3
REGIONAL CAREER TECHNICAL CENTER @ ARDIS,2100 ELLSWORTH,YPSILANTI,04/22/2015,2,1,5
RESIDENCE INN BY MARRIOT,3535 GREEN ROAD,ANN ARBOR,04/09/2015,2,0,3
RICK'S AMERICAN CAFE,611 CHURCH STREET,ANN ARBOR,04/02/2015,0,0,1
SAIGON GARDEN,1220 S. UNIVERSITY,ANN ARBOR,04/30/2015,0,1,6
"SALINE AREA SENIOR COUNCIL, INC",7190 MAPLE RD,SALINE,04/07/2015,0,0,1
SALVATION ARMY,100 ARBANA DR,ANN ARBOR,04/08/2015,0,3,0
SAN FU ORIENTAL CUISINE,625 S. MAIN STREET,ANN ARBOR,04/20/2015,7,1,8
SC SPOT (ARAMARK),4800 E. HURON RIVER DRIVE,ANN ARBOR,04/02/2015,1,0,2
SEITZ TAVERN,110 W. MIDDLE STREET,CHELSEA,04/01/2015,0,0,4
SENIOR CITIZEN RECREATION CENTER,1015 CONGRESS,YPSILANTI,04/06/2015,0,0,1
SHALIMAR RESTAURANT,307 S. MAIN STREET,ANN ARBOR,04/21/2015,3,1,4
SIAM SQUARE,3750 WASHTENAW,ANN ARBOR,04/02/2015,1,2,8
SINBAD KONEY ISLAND,2563 ELLSWORTH ROAD,YPSILANTI,04/15/2015,0,1,4
SMOKEHOUSE 52 BBQ,125 S MAIN ST,CHELSEA,04/09/2015,0,1,13
SOUTH ARBOR ACADEMY,8200 CARPENTER ROAD,YPSILANTI,04/16/2015,0,0,0
SOUTH MEADOWS ELEMENTARY SCHOOL,335 PIERCE STREET,CHELSEA,04/20/2015,0,0,0
ST. ANDREWS CHURCH OF CHRIST,7610 ANN ARBOR STREET,DEXTER,04/07/2015,0,1,2
ST. JOHN'S CATHOLIC CHURCH,410 W. CROSS STREET,YPSILANTI,04/15/2015,0,0,0
ST. JOSEPH CHURCH,9425 WHITTAKER ROAD,YPSILANTI,04/14/2015,0,0,0
STARBUCKS COFEE,2793 PLYMOUTH RD,ANN ARBOR,04/09/2015,0,0,2
STARBUCKS COFFEE #13531,3650 CARPENTER RD.,ANN ARBOR,04/03/2015,0,0,2
STARBUCKS COFFEE #2482,1214 S. UNIVERSITY AVENUE,ANN ARBOR,04/30/2015,0,0,5
STEAK-N-SHAKE #343,4120 ELLSWORTH ROAD,YPSILANTI,04/16/2015,2,0,7
STIVERS,11 S. FLETCHER ROAD,CHELSEA,04/29/2015,2,1,1
STUFD,505 W. CROSS,YPSILANTI,04/15/2015,2,0,7
SUBWAY,10955 WILLIS ROAD,WILLIS,04/07/2015,1,0,2
SUBWAY,885 W. EISENHOWER PKWY,ANN ARBOR,04/13/2015,0,0,3
SUBWAY #4653,4009 CARPENTER ROAD,YPSILANTI,04/01/2015,0,2,3
SUBWAY (HGS 4),"2124 WHITTAKER ROAD, SUITE C ",YPSILANTI,04/07/2015,0,0,0
SUBWAY at WCC (ARAMARK),4800 E HURON RIVER DR,ANN ARBOR,04/02/2015,0,0,3
TGI FRIDAYS,3015 LOHR ROAD,ANN ARBOR,04/10/2015,2,1,8
TIM HORTON'S,524 E. MICHIGAN AVENUE,SALINE,04/23/2015,1,0,7
TRINITY PRESBYTERIAN CHURCH,10101 W. ANN ARBOR ROAD,PLYMOUTH,04/28/2015,0,0,1
TROPICAL SMOOTHIE CAFE',607 E LIBERTY ST,ANN ARBOR,04/14/2015,0,1,7
TWISTER'S ICE CREAM & MAIN STREET BAGEL,901 S. MAIN STREET,CHELSEA,04/16/2015,0,0,3
VIE FITNESS & SPA,209 S. ASHLEY ST. ,ANN ARBOR,04/10/2015,1,1,2
WASHTENAW INTERNATIONAL HIGH SCHOOL,510 EMERICK,YPSILANTI,04/24/2015,0,0,2
WCC CULINARY ARTS KITCHEN,4800 E. HURON RIVER DRIVE,ANN ARBOR,04/21/2015,0,0,3
WCC MORRIS LAWRENCE BLDG/ FABULOUS FOODS,4800 E. HURON RIVER DRIVE,ANN ARBOR,04/17/2015,0,0,0
WENDY'S,1640 COMMERCE PARK DR,CHELSEA,04/27/2015,0,0,1
WEST END GRILL,120 W. LIBERTY,ANN ARBOR,04/10/2015,1,1,8
WHATS COOKING!,3744 PLAZA DRIVE,ANN ARBOR,04/23/2015,0,0,2
WOLVERINE GRILL,228 W. MICHIGAN AVENUE,YPSILANTI,04/17/2015,1,0,2
YPSILANTI COMMUNITY HIGH SCHOOL,2095 PACKARD,YPSILANTI,04/23/2015,0,1,4
YPSILANTI COMMUNITY MIDDLE SCHOOL,235 SPENCER LANE,YPSILANTI,04/27/2015,0,0,1
ZAMMAN CAFE,865 EISENHOWER PKWY.,ANN ARBOR,04/02/2015,2,0,4
