Establishment,Address,City,Inspection Date,Priority Violations Cnt,Priority Foundation Violations,Core Violations
SUBWAY/PILOT TRAVEL #021,750 BAKER ROAD,DEXTER,02/04/2015,1,1,3
SUSHI TOWN,740 PACKARD,ANN ARBOR,02/17/2015,0,0,1
SUSHI.COM (Miya),715 N. UNIVERSITY,ANN ARBOR,02/09/2015,2,2,2
SWEETWATERS COFFEE & TEA,604 E LIBERTY ST,ANN ARBOR,02/26/2015,0,0,0
SWEETWATERS COFFEE & TEA,3393 PLYMOUTH RD SUITE A,ANN ARBOR,02/09/2015,1,0,2
TACO BELL #1938,2280 W. STADIUM BLVD,ANN ARBOR,02/03/2015,0,1,1
TAQUERIA LA FIESTA MEXICAN RESTAURANT,4060 PACKARD RD,ANN ARBOR,02/20/2015,1,0,3
TASTY GREEN CAFE,"100 N. 5TH AVE, STE 126",ANN ARBOR,02/11/2015,1,1,2
TATSU SUSHI,100 BRIARWOOD CIR KIOSK 166,ANN ARBOR,02/06/2015,1,0,6
TERRY B'S RESTAURANT,7954 ANN ARBOR STREET,DEXTER,02/05/2015,1,0,5
TIM HORTON'S,3975 S. STATE ST,ANN ARBOR,02/05/2015,0,1,11
TIM HORTON'S,1311 ANNA J STEPP DR,YPSILANTI,02/03/2015,1,3,7
TONY SACCOS,980 W EISENHOWER PARKWAY STE A,ANN ARBOR,02/06/2015,2,1,8
TOYOTA TECHNICAL CENTER,1555 WOODRIDGE,ANN ARBOR,02/09/2015,0,0,1
UMI SUSHI,3393 PLYMOUTH RD SUITE 200,ANN ARBOR,02/25/2015,0,0,4
UNIVERSITY CAFE,621 CHURCH STREET,ANN ARBOR,02/11/2015,0,0,4
UPTOWN CONEY ISLAND,3917 JACKSON ROAD,ANN ARBOR,02/11/2015,0,0,1
WASHTENAW MILK & ICE CREAM,602 S. ASHLEY,ANN ARBOR,02/10/2015,1,1,3
WESLEY UNITED METHODIST CHURCH,9318 MAIN ST. (PO. BOX 431),WHITMORE LAKE,02/25/2015,0,1,1
WHITE CASTLE MICHIGAN #26,3953 PACKARD,ANN ARBOR,02/11/2015,0,2,1
WHITMORE LAKE H.S. INDOOR CONCESSION  ,7430 WHITMORE LAKE RD,WHITMORE LAKE,02/25/2015,1,1,4
WINGS OVER ANN ARBOR,1758 PLYMOUTH RD,ANN ARBOR,02/20/2015,1,1,4
WORLD OF BEERS,1300 S. UNIVERSITY AVE,ANN ARBOR,02/27/2015,0,1,2
YPSILANTI MARRIOTT,1275 S. HURON,YPSILANTI,02/10/2015,2,2,8
ZAMAAN CAFE,3580 PLYMOUTH RD,ANN ARBOR,02/12/2015,2,1,8
ZA'S ITALIAN CAFE,615 E. UNIVERSITY,ANN ARBOR,02/06/2015,2,4,3
"ZINGERMAN'S ""NEXT DOOR""",418 DETROIT STREET,ANN ARBOR,02/26/2015,0,0,0
ZINGERMAN'S DELI,422 DETROIT STREET,ANN ARBOR,02/26/2015,0,0,4
ZINGERMAN'S MAIL ORDER,610-640 PHOENIX DR. ,ANN ARBOR,02/06/2015,1,0,2
